 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Stephen Gostkowski	NE	  vs.  TEN	1	10	1.4260869565217	1.1501294412235		
2	Steven Hauschka	SEA	  vs.  CLE	1	14	3.0086956521739	2.5349578580629		
3	Chandler Catanzaro	ARI	  at  PHI	1	9	3.5614035087719	1.2980085131996		
4	Graham Gano	CAR	  at  NYG	1	12	3.9561403508772	1.645783292833		
5	Cairo Santos	KC	  at  BAL	2	21	5.9736842105263	3.3832936467704		
6	Mason Crosby	GB	  at  OAK	3	16	6.8	2.143544403248		
7	Matt Prater	DET	  at  NO	1	20	9.1875	3.3314820007661		
8	Brandon McManus	DEN	  at  PIT	3	29	9.6666666666667	5.2342774877449		
9	Josh Brown	NYG	  vs.  CAR	2	25	10.347826086957	3.9848484303964		
10	Blair Walsh	MIN	  vs.  CHI	5	26	11.19298245614	3.4663221648556		
11	Chris Boswell	PIT	  vs.  DEN	1	24	10.75	3.8198620595312		
12	Mike Nugent	CIN	  at  SF	1	25	12.271929824561	3.4112432464284		
13	Adam Vinatieri	IND	  vs.  HOU	5	30	13.309734513274	4.1307815927116		
14	Dan Carpenter	BUF	  at  WAS	8	27	14.964285714286	2.8844675524652		
15	Jason Myers	JAC	  vs.  ATL	5	29	14.666666666667	4.1899350299922		
16	Justin Tucker	BAL	  vs.  KC	3	32	17.038834951456	5.5440378718237		
17	Sebastian Janikowski	OAK	  vs.  GB	5	30	17.194444444444	3.8836273930946		
18	Connor Barth	TB	  at  STL	2	31	17.285714285714	4.5084953823027		
19	Randy Bullock	FA		4	27	17.575	4.5545993237605		
20	Kai Forbath	NO	  vs.  DET	3	28	15.595744680851	6.8809313275757		
21	Dustin Hopkins	WAS	  vs.  BUF	6	28	18.652631578947	3.8980924378136		
22	Robbie Gould	CHI	  at  MIN	7	30	19.88679245283	5.2580948460212		
23	Dan Bailey	DAL	  vs.  NYJ	6	32	20.078431372549	5.7491453320656		
24	Nick Novak	HOU	  at  IND	4	32	19.897435897436	6.716969981552		
25	Josh Lambo	SD	  vs.  MIA	9	29	20.280701754386	4.0295156034899		
26	Shayne Graham	FA		3	31	20.333333333333	6.0736223860962		
27	Greg Zuerlein	LA	  	1	30	21.529411764706	7.080359305097		
28	Andrew Franks	MIA	  at  SD	2	29	20.636363636364	5.5694958251673		
29	Caleb Sturgis	PHI	  vs.  ARI	9	30	21.514285714286	5.3204265595448		
30	Matt Bryant	ATL	  at  JAC	12	21	15	4.2426406871193		
31	Ryan Succop	TEN	  at  NE	14	32	28.230769230769	4.3439408933832		
32	Phil Dawson	SF	  vs.  CIN	15	31	27.16	3.8437481707313		
33	Travis Coons	CLE	  at  SEA	25	32	30.884615384615	1.8465544437166		
